customer_id,signup_date,country,acquisition_channel,age,gender
1,2022-04-13,DE,Organic,48,F
2,2023-03-12,DE,Email,45,M
3,2022-09-28,DE,Social,45,F
4,2022-04-17,DE,Email,49,M
5,2022-03-13,AT,Ads,42,F
6,2022-01-21,DE,Social,37,M
7,2023-09-07,DE,Organic,45,F
8,2022-05-02,AT,Ads,42,M
9,2023-04-12,DE,Email,28,M
10,2022-08-03,DE,Ads,36,M
11,2022-11-27,DE,Ads,45,F
12,2023-04-04,DE,Ads,18,F
13,2022-03-29,DE,Social,22,F
14,2023-01-08,DE,Social,27,F
15,2022-04-10,DE,Social,59,M
16,2023-10-26,DE,Ads,63,M
17,2022-05-11,DE,Organic,51,F
18,2023-10-24,DE,Social,53,M
19,2022-11-05,DE,Social,19,Other
20,2022-12-10,DE,Ads,35,F
21,2023-05-07,DE,Email,30,M
22,2023-02-18,DE,Email,22,M
23,2023-01-21,DE,Ads,37,F
24,2022-07-11,DE,Organic,19,M
25,2022-10-04,CH,Organic,28,M
26,2022-06-10,DE,Email,47,M
27,2023-04-05,DE,Email,49,F
28,2022-11-10,DE,Ads,49,F
29,2022-01-22,DE,Ads,55,M
30,2022-09-10,DE,Email,45,M
31,2023-07-15,AT,Organic,27,M
32,2023-04-20,DE,Ads,39,F
33,2022-02-28,DE,Organic,34,M
34,2023-05-26,DE,Ads,39,M
35,2023-11-13,DE,Ads,60,F
36,2023-04-21,DE,Ads,36,F
37,2023-12-01,DE,Social,34,Other
38,2022-07-09,DE,Email,41,F
39,2023-11-18,DE,Organic,53,M
40,2023-07-17,DE,Ads,49,M
41,2023-07-21,DE,Social,63,M
42,2022-09-01,CH,Organic,53,M
43,2023-05-20,DE,Ads,45,F
44,2022-05-11,CH,Organic,31,F
45,2023-04-30,DE,Email,53,F
46,2023-10-09,AT,Social,23,M
47,2022-01-21,AT,Ads,26,F
48,2022-06-16,DE,Ads,38,F
49,2022-10-01,DE,Organic,29,M
50,2023-01-23,DE,Organic,47,F
51,2023-08-24,AT,Email,48,M
52,2022-11-12,DE,Organic,57,M
53,2022-01-14,DE,Ads,21,F
54,2022-08-30,DE,Ads,48,F
55,2022-12-12,CH,Organic,44,M
56,2023-07-19,AT,Ads,42,M
57,2022-12-06,CH,Ads,22,Other
58,2022-04-02,DE,Organic,23,F
59,2023-01-02,DE,Email,22,F
60,2023-03-31,DE,Organic,44,M
61,2023-03-04,DE,Email,25,M
62,2023-05-24,DE,Email,26,M
63,2022-02-04,DE,Email,32,M
64,2022-07-25,DE,Organic,53,M
65,2022-03-22,DE,Organic,58,M
66,2023-07-16,CH,Email,24,F
67,2023-01-23,DE,Email,49,M
68,2022-01-02,AT,Social,25,F
69,2023-01-25,DE,Email,64,M
70,2023-07-20,DE,Social,32,M
71,2022-04-16,DE,Email,54,M
72,2023-04-22,DE,Organic,36,F
73,2023-02-06,DE,Ads,56,M
74,2023-07-10,DE,Social,23,Other
75,2022-06-11,DE,Organic,36,F
76,2022-07-21,DE,Ads,45,F
77,2022-09-27,DE,Email,34,M
78,2022-09-28,CH,Organic,59,F
79,2023-04-01,DE,Organic,36,F
80,2023-04-07,DE,Email,48,M
81,2022-09-09,DE,Email,28,F
82,2022-10-23,DE,Organic,32,F
83,2022-12-04,DE,Email,27,F
84,2022-02-22,DE,Organic,60,F
85,2022-08-05,CH,Ads,40,F
86,2022-07-07,DE,Social,20,F
87,2023-01-15,CH,Social,20,M
88,2023-05-08,CH,Social,35,F
89,2022-02-10,DE,Email,42,F
90,2022-06-06,DE,Social,60,F
91,2022-01-15,CH,Email,37,Other
92,2022-03-06,DE,Ads,46,M
93,2023-06-05,DE,Ads,39,M
94,2022-12-10,CH,Email,32,M
95,2022-05-09,DE,Social,56,M
96,2023-10-10,DE,Email,27,M
97,2023-04-17,DE,Organic,38,F
98,2022-03-04,DE,Organic,46,M
99,2022-05-19,DE,Organic,49,F
100,2023-05-14,DE,Email,27,F
101,2023-08-16,DE,Ads,30,M
102,2023-01-27,DE,Organic,64,M
103,2023-11-06,DE,Ads,40,F
104,2023-02-23,DE,Ads,40,F
105,2022-10-16,DE,Email,48,F
106,2023-01-14,DE,Ads,21,F
107,2023-05-05,DE,Social,20,Other
108,2022-08-19,DE,Ads,38,F
109,2022-02-10,DE,Ads,19,F
110,2022-01-28,CH,Ads,21,F
111,2022-05-15,DE,Ads,18,F
112,2022-07-20,DE,Email,32,M
113,2022-02-02,DE,Email,50,Other
114,2022-02-17,DE,Ads,23,M
115,2023-05-18,DE,Organic,24,F
116,2023-02-11,DE,Ads,36,M
117,2023-07-28,DE,Ads,61,M
118,2022-04-09,DE,Ads,18,M
119,2023-11-15,DE,Email,56,M
120,2023-07-01,DE,Social,36,M
121,2023-09-05,DE,Ads,62,F
122,2023-04-07,DE,Email,43,M
123,2023-10-05,DE,Email,61,M
124,2022-01-05,DE,Social,29,M
125,2022-08-06,DE,Email,39,F
126,2023-05-18,DE,Organic,30,M
127,2023-02-02,DE,Email,45,M
128,2023-01-28,DE,Social,31,F
129,2022-07-26,DE,Social,39,F
130,2022-01-15,DE,Ads,47,M
131,2023-07-08,DE,Email,61,M
132,2023-04-06,CH,Email,37,M
133,2023-11-22,DE,Ads,61,Other
134,2023-07-29,DE,Ads,44,M
135,2022-08-29,DE,Email,55,F
136,2023-07-18,DE,Email,59,M
137,2022-04-06,DE,Ads,58,F
138,2023-04-30,DE,Ads,51,M
139,2023-02-11,DE,Email,56,M
140,2022-08-19,CH,Email,58,M
141,2023-10-17,DE,Social,61,M
142,2022-06-20,CH,Ads,54,M
143,2023-06-25,DE,Organic,18,F
144,2022-02-05,DE,Ads,32,Other
145,2023-06-09,DE,Email,49,M
146,2022-06-09,DE,Ads,25,F
147,2023-11-30,DE,Ads,50,Other
148,2022-08-31,DE,Organic,35,F
149,2022-03-27,DE,Organic,62,M
150,2023-08-01,DE,Email,46,F
151,2023-11-13,DE,Social,49,M
152,2023-07-11,AT,Ads,50,F
153,2023-07-28,DE,Social,22,M
154,2023-10-08,AT,Social,35,M
155,2022-01-28,AT,Email,27,M
156,2023-09-12,AT,Ads,53,M
157,2023-07-10,DE,Ads,50,F
158,2022-12-06,DE,Organic,40,M
159,2022-11-27,CH,Ads,57,F
160,2023-10-02,DE,Social,22,M
161,2023-05-21,DE,Organic,51,M
162,2022-12-14,DE,Email,41,F
163,2023-04-18,DE,Email,34,Other
164,2022-08-19,DE,Organic,48,M
165,2022-07-09,DE,Email,24,M
166,2022-08-13,AT,Organic,34,F
167,2023-01-20,DE,Ads,45,M
168,2023-01-12,CH,Ads,55,F
169,2022-10-10,DE,Email,39,F
170,2023-09-25,DE,Organic,32,M
171,2023-09-20,DE,Email,54,M
172,2022-09-16,DE,Organic,32,M
173,2022-12-25,CH,Ads,42,M
174,2023-04-01,DE,Organic,38,F
175,2023-02-15,DE,Ads,55,F
176,2023-10-11,DE,Email,19,F
177,2022-11-14,DE,Organic,44,F
178,2023-11-08,DE,Email,49,M
179,2022-08-13,DE,Ads,38,F
180,2022-08-22,DE,Email,21,M
181,2023-11-15,AT,Organic,61,F
182,2023-10-26,DE,Social,36,M
183,2023-01-09,DE,Ads,19,F
184,2023-11-03,DE,Ads,43,F
185,2023-08-31,DE,Organic,51,M
186,2023-04-17,DE,Email,31,M
187,2022-08-21,DE,Social,32,F
188,2023-11-23,DE,Email,37,M
189,2022-04-23,CH,Social,51,F
190,2023-05-12,DE,Organic,53,F
191,2023-03-18,DE,Organic,36,F
192,2023-07-18,DE,Organic,26,M
193,2022-09-25,DE,Ads,24,F
194,2023-05-25,DE,Ads,47,M
195,2023-01-21,DE,Email,30,M
196,2023-01-22,AT,Organic,44,F
197,2022-04-23,CH,Organic,61,F
198,2023-09-05,AT,Social,52,M
199,2023-09-17,DE,Ads,30,M
200,2022-03-22,DE,Email,32,F
201,2023-11-30,DE,Ads,63,F
202,2022-04-23,AT,Organic,26,F
203,2022-01-02,DE,Email,62,M
204,2023-10-04,AT,Email,40,F
205,2022-08-08,DE,Organic,53,F
206,2023-07-20,DE,Ads,57,F
207,2022-08-13,DE,Ads,20,F
208,2023-01-20,DE,Ads,51,M
209,2023-02-07,DE,Organic,36,Other
210,2023-09-30,DE,Email,45,M
